,categories,pid,average_rating
12,Amazon Devices,B00ZS0G0PG,4.5
5,Amazon Devices,B00OQVZDJM,4.333333333333333
7,Amazon Devices,B00QJDS7I4,4.333333333333333
8,Amazon Devices,B00QJDVBFU,4.333333333333333
9,Amazon Devices,B00U879XZ8,4.333333333333333
22,Amazon Devices,B06XDD27LJ,4.333333333333333
2,Amazon Devices,B00LWHUAF0,4.25
4,Amazon Devices,B00NO8LX7E,4.111111111111111
3,Amazon Devices,B00LWHUB9A,4
6,Amazon Devices,B00PD81ETU,4
14,Amazon Devices,B010EK1GOE,4
18,Amazon Devices,B01FWSVGQQ,4
19,Amazon Devices,B01J2G4VBG,4
20,Amazon Devices,B01KIOU4EO,4
21,Amazon Devices,B01LW1MS9C,3.888888888888889
16,Amazon Devices,B01A08E70K,3.8333333333333335
17,Amazon Devices,B01A08ECQY,3.7142857142857144
0,Amazon Devices,B00DOPNLJ0,3.697674418604651
1,Amazon Devices,B00KDRQEYQ,3.6666666666666665
15,Amazon Devices,B0117U8JSG,3.5
13,Amazon Devices,B010BWYP20,3.3333333333333335
10,Amazon Devices,B00VKLBU3Y,3.25
11,Amazon Devices,B00VKM5NFY,3.25
23,"Amazon Devices & Accessories,Amazon Device Accessories,Controllers & Remote Controls,Kindle Store,Amazon Echo Accessories,Remote Controls",B01E9AHU8Q,3.7142857142857144
24,"Amazon Devices & Accessories,Amazon Device Accessories,Controllers & Remote Controls,Kindle Store,Fire TV Accessories,Controllers & Remotes,Controllers",B00LORGAG6,2.823529411764706
25,"Amazon Devices & Accessories,Amazon Device Accessories,Controllers & Remote Controls,Kindle Store,Fire TV Accessories,Controllers & Remotes,Controllers",B00NO8JJZW,2.6666666666666665
26,"Amazon Devices & Accessories,Amazon Device Accessories,Kindle Store,Kindle E-Reader Accessories,Kindle Oasis Accessories",B01HC1S9HU,3.909090909090909
27,"Amazon Devices & Accessories,Amazon Device Accessories,Power Adapters & Cables,Kindle Store,Kindle E-Reader Accessories,Kindle Paperwhite Accessories",B01J2G4VBG,3.3684210526315788
28,"Amazon Devices,Corded Headsets,Electronics Features,Electronics,Audio,Headphones,Kindle Store,Kindle Accessories",B00HX0SRXW,3.2406015037593985
29,"Amazon Devices,Electronics,Kindle Store",B010BWYDYA,4
30,"Amazon Devices,Electronics,Kindle Store",B01K8B8YA8,3.4615384615384617
31,"Amazon Devices,Electronics,Kindle Store,Amazon Echo",B01KIOU214,4.555555555555555
32,"Amazon Devices,Home,Smart Home & Connected Living,Smart Hubs & Wireless Routers,Smart Hubs,Home Improvement,Home Safety & Security,Alarms & Sensors,Home Security,Amazon Echo,Home, Garage & Office,Smart Home,Voice Assistants,Amazon Tap,Electronics Features,TVs & Electronics,Portable Audio & Electronics,MP3 Player Accessories,Home Theater & Audio,Speakers,Featured Brands,Electronics,Kindle Store,Frys,Electronic Components,Home Automation,Electronics, Tech Toys, Movies, Music,Audio,Bluetooth Speakers",B01BH83OOM,4.27859778597786
33,"Amazon Devices,Kindle Accessories",B00KSR13CE,3.6666666666666665
34,"Amazon Devices,Kindle Accessories",B01KVZDFD2,3.3333333333333335
37,"Amazon Devices,Kindle Store",B01LW1MS9C,4
38,"Amazon Devices,Kindle Store",B0711C7WL2,3.8461538461538463
41,"Amazon Devices,Kindle Store",B071NMTDHR,3.8333333333333335
40,"Amazon Devices,Kindle Store",B07194GPJV,3.7777777777777777
39,"Amazon Devices,Kindle Store",B0716JZKLT,3.75
35,"Amazon Devices,Kindle Store","B008GG93YE,B00LWHUBPO,B0051QYGXA",3.6
36,"Amazon Devices,Kindle Store","B008GGCAVM,B00DOPNMVM",3.268292682926829
42,"Amazon Devices,Kindle Store,Kindle Accessories",B00DOPNK14,3.75
43,"Amazon Devices,Kindle Store,buy a kindle","B00DOPNO4M,B00BWYQ9YE,B00CYQPMJC,B00CUU1CGY,B00BWYRF7E,B00CYQP3AK",3.914285714285714
44,"Amazon Devices,mazon.co.uk",B00QJDU3KY,4
45,"Categories,Amazon Devices,Electronics Features,Streaming Media Players,Consumer Electronics,See more Amazon Fire TV Digital HD Media Streamer (Late...",B00CX5P8FC,3.4156626506024095
46,"Categories,Amazon Devices,Streaming Media Players",B00DU15MU4,2.763157894736842
47,"Cell Phones & Accessories,Accessories,Screen Protectors,Cell,Amazon Devices,Electronics",B00K5W9WZW,3.5833333333333335
51,"Electronics,Amazon Devices",B01M3ULMWP,4.4
50,"Electronics,Amazon Devices",B01BRWH8G8,4.333333333333333
52,"Electronics,Amazon Devices",B01M4NRFXX,4.25
53,"Electronics,Amazon Devices",B01M4NU4OM,4
48,"Electronics,Amazon Devices",B00LWHU9D8,3.9885057471264367
49,"Electronics,Amazon Devices",B0117U82EM,3.3333333333333335
54,"Electronics,Amazon Devices",B01M71HRMY,3.25
55,"Kindle Store,Amazon Devices,Electronics",B002Y27P3M,3.59375
