pid,categories,name,reviews
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,"Paperwhite voyage, no regrets!"
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,One Simply Could Not Ask For More
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,Great for those that just want an e-reader
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,Love / Hate relationship
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,I LOVE IT
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,Great device for reading. 8 people found this helpful. Was this review helpful to you Yes No
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,One Simply Could Not Ask For More 28 people found this helpful. Was this review helpful to you Yes No
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,Definitely better than the previous generation 16 people found this helpful. Was this review helpful to you Yes No
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,"Paperwhite voyage, no regrets! 16 people found this helpful. Was this review helpful to you Yes No"
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,Great for those that just want an e-reader 19 people found this helpful. Was this review helpful to you Yes No
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,Give this to a book-loving-new-mommy-who-breastfeeds 34 people found this helpful. Was this review helpful to you Yes No
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,"Trouble-free international shipping, and easy to convert ePub 9 people found this helpful. Was this review helpful to you Yes No"
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,Great for those that just want an e-reader 18 people found this helpful. Was this review helpful to you Yes No
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,Liked the smaller size
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,Superb reading device - but which one's best for you
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,I love it!
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,Un plaisir
B00QJDU3KY,"Amazon Devices,mazon.co.uk",Kindle Paperwhite,Works great and I love the built-in light
